timestamp,open,high,low,close,volume
2018-01-02 04:00:00-05:00,169.1,169.11,169.1,169.11,2018.0
2018-01-02 04:30:00-05:00,169.2,169.2,169.1,169.18,6428.0
2018-01-02 05:00:00-05:00,169.25,169.29,169.0,169.19,5186.0
2018-01-02 05:30:00-05:00,169.35,169.35,169.35,169.35,221.0
2018-01-02 06:00:00-05:00,169.34,169.34,169.34,169.34,4939.0
2018-01-02 06:30:00-05:00,169.48,169.67,169.48,169.67,6941.0
2018-01-02 07:00:00-05:00,169.52,169.85,169.51,169.85,14266.0
2018-01-02 07:30:00-05:00,169.95,170.2,169.95,170.05,22757.0
2018-01-02 08:00:00-05:00,170.01,170.12,169.53,170.05,58358.0
2018-01-02 08:30:00-05:00,170.09,170.19,170.0,170.12,55050.0
2018-01-02 09:00:00-05:00,170.15,170.33,170.05,170.22,68683.0
2018-01-02 09:30:00-05:00,170.16,171.07,169.26,170.98,5484906.0
2018-01-02 10:00:00-05:00,170.97,171.58,170.86,171.5599,2483561.0
2018-01-02 10:30:00-05:00,171.54,171.6,171.2101,171.505,1908473.0
2018-01-02 11:00:00-05:00,171.5,171.53,171.17,171.2766,1535204.0
2018-01-02 11:30:00-05:00,171.275,171.34,171.1,171.21,1123683.0
2018-01-02 12:00:00-05:00,171.205,171.5,171.19,171.37,1024688.0
2018-01-02 12:30:00-05:00,171.3615,171.41,171.22,171.28,735238.0
2018-01-02 13:00:00-05:00,171.29,171.59,171.2838,171.54,954748.0
2018-01-02 13:30:00-05:00,171.535,171.7,171.49,171.6886,974928.0
2018-01-02 14:00:00-05:00,171.68,172.11,171.66,171.91,1968691.0
2018-01-02 14:30:00-05:00,171.9001,172.09,171.9001,171.98,974371.0
2018-01-02 15:00:00-05:00,171.98,171.99,171.7,171.85,1164167.0
2018-01-02 15:30:00-05:00,171.86,172.3,171.8337,172.26,2513079.0
2018-01-02 16:00:00-05:00,172.19,172.26,172.02,172.12,336198.0
2018-01-02 16:30:00-05:00,172.12,172.26,172.12,172.2,18909.0
2018-01-02 17:00:00-05:00,172.14,172.14,172.04,172.1,12914.0
2018-01-02 17:30:00-05:00,172.1,172.24,172.1,172.11,130222.0
2018-01-02 18:00:00-05:00,172.12,172.23,172.04,172.07,9166.0
2018-01-02 18:30:00-05:00,172.03,172.15,172.03,172.15,3426.0
2018-01-02 19:00:00-05:00,172.05,172.25,172.05,172.25,2944.0
2018-01-02 19:30:00-05:00,172.18,172.3,172.18,172.3,7704.0
2018-01-03 04:00:00-05:00,172.66,172.66,172.66,172.66,758.0
2018-01-03 05:00:00-05:00,172.66,172.66,172.66,172.66,227.0
2018-01-03 06:00:00-05:00,172.79,172.79,172.75,172.75,800.0
2018-01-03 06:30:00-05:00,172.75,172.75,172.75,172.75,4575.0
2018-01-03 07:00:00-05:00,172.75,172.75,172.5,172.51,16873.0
2018-01-03 07:30:00-05:00,172.51,172.6,172.5,172.55,8381.0
2018-01-03 08:00:00-05:00,172.55,172.65,172.42,172.55,32073.0
2018-01-03 08:30:00-05:00,172.53,172.6,172.45,172.5,25247.0
2018-01-03 09:00:00-05:00,172.55,172.74,172.47,172.52,256909.0
2018-01-03 09:30:00-05:00,172.53,173.9,172.18,173.865,4249731.0
2018-01-03 10:00:00-05:00,173.89,174.41,173.76,174.03,2780524.0
2018-01-03 10:30:00-05:00,174.04,174.55,173.9,174.15,2104217.0
2018-01-03 11:00:00-05:00,174.16,174.29,173.94,173.96,1757500.0
2018-01-03 11:30:00-05:00,173.96,173.97,173.5,173.66,1721985.0
2018-01-03 12:00:00-05:00,173.67,173.73,173.41,173.49,1203629.0
2018-01-03 12:30:00-05:00,173.495,173.52,173.22,173.32,1317960.0
2018-01-03 13:00:00-05:00,173.33,173.49,173.09,173.37,987738.0
2018-01-03 13:30:00-05:00,173.3699,173.395,172.93,172.972,1043660.0
2018-01-03 14:00:00-05:00,172.98,173.085,172.77,172.8734,1338568.0
2018-01-03 14:30:00-05:00,172.877,172.9,172.33,172.39,1558047.0
2018-01-03 15:00:00-05:00,172.385,172.59,172.16,172.26,1971575.0
2018-01-03 15:30:00-05:00,172.27,172.54,171.96,172.18,4055182.0
2018-01-03 16:00:00-05:00,172.17,172.23,171.91,172.23,809280.0
2018-01-03 16:30:00-05:00,172.0,172.07,171.95,171.99,55062.0
2018-01-03 17:00:00-05:00,171.99,172.14,171.94,172.08,32240.0
2018-01-03 17:30:00-05:00,172.07,172.1,172.01,172.07,6474.0
2018-01-03 18:00:00-05:00,172.1,172.12,171.95,171.96,24427.0
2018-01-03 18:30:00-05:00,171.94,172.0,171.94,172.0,121496.0
2018-01-03 19:00:00-05:00,172.0,172.07,172.0,172.06,155783.0
2018-01-03 19:30:00-05:00,172.06,172.06,171.96,172.0,12319.0
2018-01-04 04:00:00-05:00,172.4,172.41,172.4,172.4,1169.0
2018-01-04 05:00:00-05:00,172.6,172.8,172.6,172.8,1699.0
2018-01-04 06:00:00-05:00,172.61,172.61,172.5,172.61,5149.0
2018-01-04 06:30:00-05:00,172.61,172.68,172.61,172.68,733.0
2018-01-04 07:00:00-05:00,172.56,172.69,172.53,172.69,8200.0
2018-01-04 07:30:00-05:00,172.65,172.77,172.61,172.61,9879.0
2018-01-04 08:00:00-05:00,172.68,172.88,172.56,172.83,44134.0
2018-01-04 08:30:00-05:00,172.8,172.88,172.72,172.8,27977.0
2018-01-04 09:00:00-05:00,172.8,172.87,172.59,172.71,27860.0
2018-01-04 09:30:00-05:00,172.54,173.16,172.08,172.94,3894745.0
